gamma	speedup	empirical_alpha	avg_js_divergence	spec_time base_time	mp_steps	mq_steps
1	0.5899621535030272	0.4444444444444444	0.5604354601119134	2.8329123998992145 1.6713111001299694	153	63
2	0.5037631730586031	0.2982456140350877	0.56912734748729	3.317652400000952 1.6713111001299694	147	114
4	0.3181882894782046	0.12704918032786885	0.6244302355566981	5.252585200010799 1.6713111001299694	151	244
